transaction_id,merchant_id,customer_id,amount_inr,payment_method,status,attempts,failure_reason,timestamp,risk_status,recovered_amount_inr
TXN1001,M001,C101,2499,UPI,FAILED,1,INSUFFICIENT_FUNDS,2026-09-05 09:12,AT_RISK,0
TXN1002,M001,C102,4999,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 09:18,AT_RISK,4999
TXN1003,M001,C103,1299,UPI,SUCCESS,1,,2026-09-05 09:21,RECOVERED,1299
TXN1004,M001,C104,7999,CARD,FAILED,3,ISSUER_DECLINED,2026-09-05 09:25,ESCALATE,0
TXN1005,M001,C105,899,NETBANKING,FAILED,1,BANK_TIMEOUT,2026-09-05 09:31,RETRY,899
TXN1006,M001,C106,3499,CARD,FAILED,1,INSUFFICIENT_FUNDS,2026-09-05 09:42,AT_RISK,0
TXN1007,M001,C107,1599,UPI,SUCCESS,1,,2026-09-05 09:47,RECOVERED,1599
TXN1008,M001,C108,5999,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 09:52,AT_RISK,5999
TXN1009,M001,C109,2199,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 10:02,RETRY,2199
TXN1010,M001,C110,10999,CARD,FAILED,2,ISSUER_DECLINED,2026-09-05 10:08,HIGH_VALUE,0
TXN1011,M001,C111,699,UPI,SUCCESS,1,,2026-09-05 10:14,RECOVERED,699
TXN1012,M001,C112,4299,NETBANKING,FAILED,1,BANK_TIMEOUT,2026-09-05 10:19,RETRY,4299
TXN1013,M001,C113,2799,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 10:27,AT_RISK,2799
TXN1014,M001,C114,1499,UPI,FAILED,1,INSUFFICIENT_FUNDS,2026-09-05 10:33,AT_RISK,0
TXN1015,M001,C115,7499,CARD,SUCCESS,1,,2026-09-05 10:41,RECOVERED,7499
TXN1016,M001,C116,1899,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 10:48,RETRY,1899
TXN1017,M001,C117,5499,CARD,FAILED,3,ISSUER_DECLINED,2026-09-05 10:55,ESCALATE,0
TXN1018,M001,C118,999,UPI,SUCCESS,1,,2026-09-05 11:03,RECOVERED,999
TXN1019,M001,C119,6499,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 11:10,AT_RISK,6499
TXN1020,M001,C120,3199,NETBANKING,FAILED,1,BANK_TIMEOUT,2026-09-05 11:18,RETRY,3199
TXN1021,M001,C121,4599,CARD,FAILED,2,INSUFFICIENT_FUNDS,2026-09-05 11:25,AT_RISK,0
TXN1022,M001,C122,2299,UPI,SUCCESS,1,,2026-09-05 11:33,RECOVERED,2299
TXN1023,M001,C123,8999,CARD,FAILED,3,ISSUER_DECLINED,2026-09-05 11:41,ESCALATE,0
TXN1024,M001,C124,1199,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 11:48,RETRY,1199
TXN1025,M001,C125,3899,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 11:56,AT_RISK,3899
TXN1026,M001,C126,599,UPI,SUCCESS,1,,2026-09-05 12:05,RECOVERED,599
TXN1027,M001,C127,6999,NETBANKING,FAILED,1,BANK_TIMEOUT,2026-09-05 12:13,RETRY,6999
TXN1028,M001,C128,2599,CARD,FAILED,2,INSUFFICIENT_FUNDS,2026-09-05 12:20,AT_RISK,0
TXN1029,M001,C129,499,UPI,SUCCESS,1,,2026-09-05 12:28,RECOVERED,499
TXN1030,M001,C130,9499,CARD,FAILED,3,ISSUER_DECLINED,2026-09-05 12:36,ESCALATE,0
TXN0031,M001,C031,899,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 09:37,AT_RISK,0
TXN0032,M001,C032,1299,NETBANKING,FAILED,3,ISSUER_DECLINED,2026-09-05 09:44,ESCALATE,0
